protocol,flow duration,tot fwd pkts,tot bwd pkts,init fwd win byts,init bwd win byts,label
6,43968,12,44,7692,8769,Attack
6,15668,3,2,3473,793,Benign
6,58403,23,25,2328,2704,Benign
6,36564,39,1,6864,282,Attack
6,22826,30,17,3078,7788,Attack
6,85522,27,3,5666,8955,Attack
6,67147,6,38,7659,9172,Benign
6,38145,46,10,401,9466,Attack
6,89602,32,47,9651,9959,Benign
6,49007,42,48,9875,8032,Attack
6,37159,21,10,2753,3523,Benign
6,57537,18,31,2075,1244,Attack
6,26761,47,13,137,4994,Attack
6,17992,6,0,9667,9048,Benign
6,90347,40,1,4404,7821,Benign
6,79472,20,8,9766,7322,Attack
6,9689,49,8,6523,8910,Benign
6,11645,24,31,1105,2927,Attack
6,51996,44,20,1147,8699,Attack
6,99750,45,39,515,4914,Benign
6,53844,7,15,5842,9753,Benign
6,80287,23,11,1345,1021,Attack
6,78145,48,21,8171,1945,Benign
6,78161,16,49,2492,3124,Attack
6,60654,44,9,8137,7467,Benign
6,84725,27,25,3439,4178,Benign
6,97174,41,28,7200,5709,Benign
6,94308,9,8,9762,1393,Attack
6,38358,7,15,6106,2298,Benign
6,91760,24,15,639,4717,Attack
6,29027,5,1,4787,2354,Attack
6,84463,22,43,1430,2401,Attack
6,83629,14,27,137,5047,Benign
6,20843,34,16,3983,1307,Attack
6,64531,39,24,375,3418,Attack
6,25834,35,38,8173,927,Benign
6,79732,25,34,4583,8223,Benign
6,80194,5,21,4823,7698,Benign
6,76421,16,0,9474,9160,Attack
6,19707,19,46,768,4942,Benign
6,34033,17,44,1544,3472,Attack
6,48446,10,34,2353,7138,Attack
6,7424,13,35,7386,1550,Attack
6,34026,10,35,6654,1176,Benign
6,70203,8,48,5913,6430,Attack
6,14140,14,12,5174,3723,Benign
6,85450,28,36,1474,6036,Attack
6,84884,9,34,5076,3888,Benign
6,42817,31,31,3562,7008,Benign
6,5366,3,28,7878,9334,Attack
6,54771,3,37,1485,5363,Benign
6,127,18,32,6703,8847,Attack
6,42227,43,43,2015,6645,Attack
6,12674,21,7,5705,9843,Attack
6,87754,31,42,1603,7139,Attack
6,25939,20,9,2646,8065,Benign
6,38829,8,1,4205,5054,Benign
6,6477,9,2,2857,1032,Benign
6,52848,35,48,4396,2858,Benign
6,59645,29,19,9073,464,Attack
6,88075,1,45,4206,491,Benign
6,9762,23,49,3546,6696,Attack
6,62692,14,27,3100,8076,Attack
6,11516,21,49,9730,7695,Attack
6,41415,32,32,6770,6544,Benign
6,63193,42,1,4553,4855,Benign
6,31282,15,0,2959,8348,Benign
6,75504,38,22,6080,9953,Benign
6,41613,39,23,1303,7890,Benign
6,94442,12,6,473,743,Attack
6,88195,9,34,656,3934,Benign
6,86368,4,28,8962,4128,Attack
6,90252,36,1,4531,205,Attack
6,61896,8,33,8202,272,Attack
6,8143,8,24,7345,9830,Benign
6,63265,22,17,2319,8228,Attack
6,58213,50,31,8912,2894,Benign
6,26548,48,30,3826,3865,Benign
6,80084,41,33,749,1590,Attack
6,42167,22,12,8174,8236,Attack
6,76853,32,27,4853,5140,Attack
6,94298,2,3,8002,1043,Attack
6,90537,10,0,1241,9727,Attack
6,18481,12,41,3413,8721,Attack
6,95013,3,7,6451,7294,Benign
6,32919,4,23,7760,1446,Benign
6,28581,9,39,8790,1000,Attack
6,69432,11,7,5204,1104,Benign
6,7450,22,2,7429,9946,Attack
6,34794,31,44,9353,8548,Attack
6,83815,5,14,9082,5215,Attack
6,26766,3,49,9958,6468,Attack
6,23678,19,2,4750,9281,Attack
6,95173,39,14,1153,7970,Attack
6,33643,40,36,9825,6409,Attack
6,65089,29,22,5564,5298,Attack
6,88584,42,28,2831,1575,Attack
6,53347,7,22,1191,4803,Benign
6,46210,18,4,6324,1104,Benign
6,29081,13,4,5491,1878,Benign
6,62338,7,25,2857,8408,Attack
6,85965,15,18,5086,7858,Benign
6,28059,41,8,6241,4187,Attack
6,25960,40,29,7479,1116,Benign
6,61211,39,36,909,8563,Attack
6,1638,15,13,248,9299,Benign
6,36688,18,9,7722,8504,Benign
6,29048,17,7,6861,7376,Attack
6,38312,28,33,9527,2751,Benign
6,77778,23,48,9008,9560,Benign
6,14386,2,26,6504,124,Benign
6,13203,10,2,5359,8466,Benign
6,57962,11,28,5399,5602,Benign
6,10296,25,37,2204,3960,Attack
6,56288,15,48,2595,3101,Attack
6,32431,12,8,5897,2782,Attack
6,88019,10,23,5084,4375,Benign
6,94067,1,49,8261,3475,Attack
6,28089,5,42,2595,1935,Benign
6,98768,37,34,3577,9102,Attack
6,62334,49,14,4529,1943,Attack
6,25676,46,8,7449,5580,Benign
6,25052,19,26,8756,4398,Benign
6,74762,1,6,6933,1131,Benign
6,50611,22,9,6057,6519,Attack
6,95467,9,11,2610,4038,Benign
6,39425,36,0,8001,1100,Attack
6,32996,34,20,8161,1674,Attack
6,57879,28,40,9563,5952,Benign
6,64388,45,34,7316,1351,Attack
6,68223,10,24,1352,4103,Attack
6,65197,37,22,9825,1814,Attack
6,62207,16,37,6285,175,Benign
6,5495,27,2,5633,7706,Attack
6,84005,22,5,1331,2044,Benign
6,16635,13,11,6611,5229,Attack
6,33238,30,28,3538,113,Attack
6,29509,26,47,9350,1371,Attack
6,44011,13,31,3541,7352,Benign
6,44064,25,39,5382,9997,Benign
6,971,20,43,8882,6780,Attack
6,70312,33,5,1922,4647,Attack
6,38416,5,20,6228,2825,Attack
6,93301,39,34,7230,8013,Attack
6,8561,50,21,5272,7024,Benign
6,1640,14,49,486,3099,Attack
6,48233,15,47,4685,5582,Benign
6,21510,38,9,3543,1984,Benign
6,46304,6,49,6652,6710,Benign
6,47464,23,10,6538,6441,Attack
6,33252,3,34,9574,742,Attack
6,28786,8,13,5255,8622,Benign
6,94939,42,5,9343,313,Benign
6,96591,40,1,7608,4771,Benign
6,59964,28,39,6691,279,Attack
6,56723,42,45,6293,8324,Benign
6,70700,24,8,6159,3376,Benign
6,63219,39,10,8787,5512,Benign
6,36602,21,33,4604,9643,Benign
6,53431,15,3,7566,5809,Attack
6,55761,45,12,5715,2462,Benign
6,16251,7,28,1975,2744,Attack
6,10977,32,20,1795,5129,Attack
6,83685,25,37,7684,9089,Attack
6,60168,37,18,9260,5026,Benign
6,57843,34,45,5181,6510,Attack
6,10183,21,10,4001,1227,Benign
6,67147,32,37,3238,6233,Benign
6,61691,36,27,1001,2750,Benign
6,93812,14,2,8687,2976,Attack
6,34032,30,1,1021,8401,Attack
6,41259,21,41,7262,5519,Attack
6,1785,1,2,5535,5949,Attack
6,8184,14,10,6282,7991,Benign
6,13778,9,36,5728,3823,Benign
6,44574,12,50,8511,5501,Benign
6,13025,49,32,8910,3211,Attack
6,16684,22,39,1,5271,Benign
6,38701,46,27,1313,1116,Benign
6,34609,2,5,5817,7601,Attack
6,47658,49,37,3499,9704,Benign
6,12189,38,45,8120,5753,Benign
6,72417,47,12,5392,9816,Benign
6,18084,25,35,3273,8223,Attack
6,47306,45,32,30,1213,Benign
6,339,48,2,4754,4907,Attack
6,49213,49,25,9162,8634,Benign
6,56009,26,46,9703,7598,Benign
6,32891,19,41,6983,9870,Benign
6,37889,9,38,2817,2398,Attack
6,52533,48,18,8592,8914,Benign
6,48759,35,15,7182,5025,Attack
6,81628,26,32,8684,8470,Attack
6,59590,31,38,5947,3499,Attack
6,27253,38,20,1109,6124,Attack
6,7192,46,34,3735,4519,Benign
6,52340,43,3,3986,6472,Attack
6,53339,50,2,7469,1341,Benign
6,51839,31,8,1439,3155,Attack
6,20556,45,40,5651,8590,Benign
6,23504,7,42,1205,7367,Benign
6,48592,40,1,9521,6522,Benign
6,97334,33,47,7316,5729,Benign
6,65563,10,35,3406,9215,Benign
6,26434,45,40,5226,5353,Attack
6,26794,18,5,4062,6946,Benign
6,99701,50,4,7392,5331,Attack
6,94398,5,20,5345,1249,Attack
6,13454,20,36,9881,5747,Benign
6,10912,15,21,4731,8090,Attack
6,91866,32,39,7460,1649,Attack
6,52098,11,28,5423,2793,Benign
6,5261,5,28,1754,5092,Attack
6,42050,15,30,5194,313,Attack
6,56312,6,6,3431,5155,Benign
6,37826,7,0,9783,6570,Attack
6,97280,44,20,7079,188,Attack
6,44374,32,23,5761,5252,Benign
6,26579,33,35,3375,5956,Attack
6,18640,6,33,4977,6424,Attack
6,17083,40,42,4798,9552,Benign
6,4740,31,1,9244,4363,Benign
6,78440,25,4,7432,5968,Benign
6,55614,9,29,8467,7554,Benign
6,74396,9,17,509,2850,Attack
6,57745,30,7,7161,7683,Benign
6,89973,33,48,3759,3493,Benign
6,33576,12,49,8526,9047,Benign
6,20985,6,0,6534,8736,Attack
6,83486,11,34,1298,4571,Attack
6,29535,36,28,8680,9688,Benign
6,85397,17,41,3681,2909,Benign
6,12608,23,4,501,7959,Benign
6,67809,16,38,9864,168,Attack
6,10742,14,1,644,8450,Attack
6,43979,9,32,5337,889,Benign
6,56970,9,3,2283,1246,Benign
6,93350,49,49,1036,4699,Attack
6,91254,47,7,1308,7481,Attack
6,53593,46,42,9801,5136,Attack
6,46217,3,20,940,6146,Benign
6,91853,3,10,3588,9549,Benign
6,24925,44,34,3306,2397,Benign
6,8075,30,21,3912,3630,Attack
6,18243,9,25,9930,2276,Benign
6,12987,37,30,3598,7383,Benign
6,42842,48,49,4133,5165,Benign
6,13265,39,47,7788,3478,Attack
6,12304,2,28,4159,2746,Attack
6,92002,28,10,4921,8980,Benign
6,78741,32,0,1557,1702,Attack
6,26968,30,20,8685,6375,Benign
6,16079,39,48,2892,8386,Benign
6,27397,45,5,1222,441,Attack
6,53057,35,28,5373,7322,Attack
6,40999,41,15,4630,6637,Benign
6,793,31,27,545,5621,Benign
6,89684,27,8,1000,5813,Attack
6,86240,23,16,2207,9531,Attack
6,43703,39,16,6266,2110,Attack
6,15432,44,38,8257,7687,Benign
6,80966,4,43,6087,5415,Attack
6,66618,25,48,7115,6034,Attack
6,72715,39,32,4188,3944,Benign
6,57010,36,14,1934,1740,Attack
6,48197,16,21,4859,6987,Benign
6,74831,34,49,7240,5105,Attack
6,31892,30,38,276,4903,Benign
6,82557,45,11,5100,9666,Benign
6,36293,13,42,849,9848,Attack
6,30415,32,3,1422,4977,Benign
6,88797,39,14,7662,2720,Benign
6,65332,4,13,9469,3391,Attack
6,21507,49,17,252,2196,Attack
6,80846,38,34,541,8635,Attack
6,20168,46,31,6242,3115,Attack
6,78015,44,19,7412,9074,Benign
6,84459,25,3,2494,8992,Attack
6,98662,22,28,7594,6871,Attack
6,81522,16,27,2052,3794,Attack
6,7921,25,49,9434,6446,Attack
6,76226,31,19,5885,2449,Benign
6,37152,34,27,2131,5923,Attack
6,41183,4,15,6887,2743,Benign
6,23197,18,5,2955,3365,Benign
6,74816,26,29,3186,6630,Attack
6,25142,9,15,741,9516,Benign
6,57732,3,38,5467,4301,Benign
6,48547,16,40,4752,4864,Benign
6,93668,50,42,2760,8786,Benign
6,98015,20,29,8317,3775,Attack
6,83252,16,37,4934,1370,Benign
6,74240,2,26,3528,2584,Benign
6,62752,27,19,9209,7510,Benign
6,73371,14,4,3866,3825,Attack
6,38146,42,2,2869,4355,Attack
6,9885,1,11,4542,5642,Attack
6,62667,2,44,909,8616,Attack
6,15359,1,29,5956,4194,Attack
6,46937,21,1,2612,3739,Benign
6,18948,43,12,6949,3301,Benign
6,16822,25,44,6057,8804,Benign
6,40353,13,15,4026,4481,Attack
6,19645,8,11,6183,8041,Attack
6,77770,14,20,1810,6735,Attack
6,41709,31,16,8129,7703,Attack
6,60514,34,0,1258,3628,Attack
6,11153,11,40,9881,1600,Attack
6,11612,33,31,9901,2490,Benign
6,43971,21,44,3401,9232,Attack
6,56739,27,38,6213,1944,Attack
6,84937,27,43,8998,9239,Attack
6,6270,6,28,9361,3914,Attack
6,14744,2,27,5187,3445,Attack
6,86000,24,6,8087,9751,Benign
6,94093,7,45,7587,6831,Benign
6,57718,4,1,8786,1533,Attack
6,96546,34,25,5691,9033,Benign
6,35442,32,16,3578,1746,Benign
6,70624,8,0,7737,3373,Benign
6,69437,45,44,8953,5575,Benign
6,25718,21,44,606,7674,Benign
6,12497,45,33,907,5414,Attack
6,3967,26,19,123,1444,Attack
6,47426,42,47,5657,8063,Benign
6,78098,21,16,4167,5583,Attack
6,31690,32,7,3183,4842,Benign
6,97348,19,1,2948,9801,Benign
6,37469,15,31,4466,5160,Benign
6,33598,34,37,6683,7333,Attack
6,21913,9,6,2810,9952,Benign
6,27993,25,14,752,633,Attack
6,13856,36,33,4771,6385,Benign
6,41141,14,28,6259,9739,Benign
6,24708,6,23,8339,8215,Benign
6,88435,29,21,7016,5694,Benign
6,32972,34,30,4236,1737,Attack
6,49520,9,2,8506,9989,Benign
6,59174,4,44,2116,2235,Benign
6,82705,17,37,6876,1036,Benign
6,51502,5,33,8918,7151,Attack
6,67622,2,37,4765,6296,Attack
6,41195,5,35,405,750,Benign
6,51169,49,7,5967,7500,Attack
6,39221,7,8,9828,5245,Attack
6,8442,26,39,8362,2319,Attack
6,36394,35,27,7338,5049,Attack
6,21065,26,18,9000,417,Attack
6,11529,15,1,9718,8611,Benign
6,21224,12,49,3701,1247,Benign
6,56243,24,34,3284,513,Benign
6,73130,9,31,5285,5730,Benign
6,62894,32,4,595,8894,Attack
6,53197,45,28,2976,4166,Benign
6,49559,13,17,8290,2727,Benign
6,57846,15,17,9047,1991,Attack
6,22973,1,38,8546,2655,Attack
6,41566,36,22,1876,7914,Benign
6,54178,36,48,2642,2108,Attack
6,27798,30,45,9165,4642,Attack
6,88035,7,16,253,4189,Benign
6,37068,47,12,9861,4730,Attack
6,21486,19,36,5398,5879,Benign
6,73878,17,21,7010,736,Attack
6,31988,34,14,405,1618,Attack
6,45498,26,31,4360,129,Attack
6,4145,29,43,3279,4872,Benign
6,6436,36,28,1650,4118,Benign
6,18194,12,4,7904,1414,Attack
6,23427,42,7,9221,8182,Benign
6,9914,33,36,4252,4029,Attack
6,43137,50,11,7020,5114,Attack
6,65287,28,49,1816,2670,Attack
6,12777,17,50,949,4902,Attack
6,59870,31,34,4998,6377,Attack
6,75375,6,28,4900,2597,Attack
6,66616,36,41,1745,1844,Attack
6,15846,45,21,3381,1073,Attack
6,33816,31,0,5507,1966,Benign
6,72830,33,1,9590,2878,Benign
6,75313,4,26,8684,7936,Attack
6,35949,40,44,7299,9931,Attack
6,90470,21,0,189,4714,Benign
6,28501,6,19,7260,848,Benign
6,7245,22,5,2656,2227,Attack
6,6522,24,7,1572,5284,Attack
6,82262,16,4,8860,5833,Benign
6,49419,26,38,8524,4717,Attack
6,48304,40,28,663,6018,Attack
6,20013,7,9,3251,9309,Attack
6,93435,4,18,7676,1875,Attack
6,79609,36,24,4277,3127,Attack
6,39064,40,48,4227,6977,Benign
6,32637,15,18,3401,2424,Attack
6,81622,9,30,8115,124,Benign
6,336,46,9,9372,1180,Attack
6,79482,19,37,6626,246,Attack
6,30987,20,12,7677,1416,Attack
6,15316,27,4,6964,3711,Benign
6,47515,35,1,9572,791,Benign
6,52505,15,34,4493,4118,Attack
6,74337,29,19,9773,251,Attack
6,54226,27,50,6180,5668,Benign
6,2527,19,9,8745,1674,Attack
6,88630,23,0,9764,8418,Benign
6,39002,17,12,5405,4952,Benign
6,70228,42,9,1037,1078,Attack
6,65103,35,6,7369,9714,Benign
6,56396,21,46,5775,9358,Benign
6,70269,1,26,2591,8602,Benign
6,95259,11,16,7677,1883,Benign
6,22559,33,15,9841,3672,Attack
6,46774,45,8,146,6224,Benign
6,31121,25,37,9131,9246,Benign
6,89740,43,11,4822,5869,Attack
6,67446,35,50,6661,2731,Attack
6,86349,47,16,4465,3086,Attack
6,58260,48,28,5380,1259,Attack
6,54596,37,45,4245,6195,Attack
6,12146,13,16,4114,9308,Attack
6,79703,15,11,624,1461,Benign
6,19705,25,8,7311,7088,Benign
6,90382,6,34,7433,2663,Benign
6,44216,43,7,8979,5962,Benign
6,30718,11,20,630,5281,Benign
6,32661,42,12,392,7212,Benign
6,21710,36,19,1403,1369,Benign
6,85413,44,12,5895,1266,Benign
6,64292,12,32,3374,4418,Benign
6,54735,16,20,3016,9583,Benign
6,25771,6,26,2612,182,Benign
6,13313,44,28,9,486,Benign
6,7874,49,14,1075,2065,Benign
6,69016,25,48,4325,2456,Attack
6,17329,50,25,7925,3052,Benign
6,87207,36,50,1303,735,Benign
6,23599,24,17,6476,9085,Benign
6,8446,5,27,1668,5688,Attack
6,68600,21,28,692,1897,Benign
6,51734,9,40,4215,3157,Benign
6,23902,8,37,2499,3660,Benign
6,73825,24,24,2029,2730,Attack
6,84261,38,29,8944,4035,Benign
6,50628,5,2,121,9791,Benign
6,20210,19,24,5609,8421,Benign
6,80313,3,12,3833,1929,Attack
6,26648,47,50,5050,533,Benign
6,56933,7,32,3482,9447,Benign
6,21680,21,40,6305,1972,Attack
6,50505,45,42,4710,1483,Benign
6,84544,29,43,1728,1281,Benign
6,13622,19,20,6780,8906,Benign
6,89347,38,35,2250,949,Attack
6,85419,37,12,6029,846,Benign
6,31871,30,11,4752,6733,Attack
6,87139,2,23,8952,3939,Attack
6,20229,3,46,9465,9136,Benign
6,81198,24,47,470,7015,Attack
6,69963,35,39,1358,4387,Attack
6,15717,32,14,6193,7055,Benign
6,29441,8,29,7850,484,Benign
6,64151,13,32,4979,1073,Attack
6,37402,33,30,3000,7791,Benign
6,19995,31,34,6873,5307,Benign
6,96370,50,30,6664,8493,Attack
6,54856,46,15,6276,3661,Benign
6,74062,3,46,655,4998,Benign
6,66702,11,12,5616,7597,Attack
6,92376,8,17,4915,3845,Benign
6,81189,38,44,213,7950,Benign
6,5544,33,24,3619,1661,Benign
6,62476,4,48,9083,8876,Attack
6,75666,13,40,7487,441,Attack
6,48314,26,23,619,3268,Attack
6,11280,1,50,6370,7376,Attack
6,81547,39,42,7135,5224,Attack
6,43941,19,36,3507,9324,Benign
6,20934,17,49,7209,9348,Benign
6,78720,39,24,2944,3215,Benign
6,31839,5,16,8092,601,Benign
6,19416,35,29,8340,523,Benign
6,22153,30,5,9043,7295,Attack
6,21774,22,40,571,6594,Benign
6,33315,2,49,6475,8236,Attack
6,73585,44,46,3586,784,Benign
6,85160,9,19,8842,6376,Attack
6,31839,22,8,6835,8601,Attack
6,53502,9,28,3688,208,Benign
6,84927,46,42,8405,5912,Attack
6,86312,20,24,1966,1887,Attack
6,71386,26,36,2770,8829,Attack
6,49488,48,1,3119,9813,Benign
6,69090,23,8,9949,9513,Benign
6,90203,5,50,8013,3417,Benign
6,37104,30,18,6079,519,Attack
6,313,43,23,8506,628,Benign
6,81265,20,49,887,5209,Attack
6,81618,45,31,884,4830,Attack
6,19021,5,15,8109,646,Benign
6,80945,31,41,6162,3314,Benign
6,84586,32,13,2780,7912,Benign
6,69695,23,19,5597,5748,Benign
6,29604,12,13,7321,4773,Attack
6,66535,26,18,2059,8006,Benign
6,66871,38,37,3399,9490,Attack
6,7080,1,14,6235,2786,Attack
6,63572,28,50,3208,2643,Attack
6,60829,3,5,7637,3814,Attack
6,34754,10,45,5337,3526,Attack
6,99808,46,10,8748,9392,Attack
6,95565,45,17,2110,8650,Attack
6,8280,13,29,4375,4268,Attack
6,73385,37,31,5191,6963,Attack
6,70365,10,47,294,5984,Benign
6,82837,13,10,3525,4581,Attack
6,7983,15,44,4496,7603,Attack
6,40706,24,7,7469,7648,Attack
6,69610,11,4,4376,2173,Benign
6,13882,46,6,3723,6828,Benign
6,74007,2,40,6176,278,Attack
6,12950,30,38,6154,5314,Attack
6,77187,9,46,3523,9480,Attack
6,77931,9,21,3165,9687,Benign
6,43093,39,38,1516,3932,Benign
6,13954,50,23,2556,8273,Attack
6,92650,42,44,865,6425,Attack
6,85629,3,32,6731,9588,Attack
6,77037,7,0,1829,5309,Benign
6,53829,12,19,8804,8539,Attack
6,43116,28,38,3826,6947,Benign
6,21017,32,24,7922,6611,Attack
6,65909,35,7,925,2700,Benign
6,59026,47,35,9535,6939,Attack
6,61676,35,8,8097,3804,Benign
6,94467,15,37,5947,3639,Attack
6,52560,34,37,2180,9618,Benign
6,46091,25,8,1435,3471,Attack
6,14971,9,33,2187,3521,Benign
6,55152,38,8,8248,4159,Benign
6,33569,21,42,985,7174,Attack
6,68731,33,45,5650,9268,Benign
6,821,30,32,9850,3695,Benign
6,85608,32,4,9232,5443,Attack
6,37574,30,31,646,8927,Attack
6,14218,37,2,7742,7329,Benign
6,35444,31,4,1581,9077,Benign
6,27611,5,49,7704,2933,Benign
6,2985,30,41,7940,5952,Benign
6,88073,34,35,4475,2987,Benign
6,32321,33,28,6152,8665,Benign
6,8212,17,45,3227,690,Benign
6,1370,31,19,2697,3243,Attack
6,93818,49,13,3009,1609,Attack
6,20128,32,9,973,1941,Attack
6,8171,44,16,8951,6490,Attack
6,85425,48,36,7700,6701,Benign
6,78856,17,23,9006,7442,Attack
6,22003,27,41,1717,1120,Benign
6,44700,43,3,2920,7837,Attack
6,80429,36,16,3443,4523,Attack
6,38797,39,6,8836,2787,Benign
6,54688,32,35,8871,6603,Benign
6,63608,7,7,9798,4262,Benign
6,32340,14,8,7775,343,Attack
6,57853,21,12,1650,6911,Attack
6,77153,1,46,4431,9886,Benign
6,24657,37,25,2724,9868,Benign
6,31743,36,18,8778,2378,Attack
6,54698,16,10,1128,50,Attack
6,35449,21,47,2102,4196,Benign
6,3164,13,43,189,4871,Attack
6,28075,12,41,325,1522,Benign
6,61717,50,23,1603,347,Attack
6,65595,12,35,6174,8396,Benign
6,12247,10,39,8870,3893,Benign
6,73715,14,16,8204,8651,Attack
6,13495,37,38,1222,1284,Benign
6,16630,41,26,1081,7931,Benign
6,91372,30,27,6514,3210,Benign
6,15514,22,16,515,3181,Attack
6,95402,6,2,1495,6567,Benign
6,27377,15,33,1931,3500,Benign
6,47813,33,43,1864,1458,Benign
6,71672,19,7,7701,5842,Attack
6,79228,21,1,4801,275,Attack
6,62871,33,47,6678,8184,Benign
6,64458,26,43,585,2054,Attack
6,72492,3,16,2898,9018,Attack
6,4647,8,47,2592,1199,Benign
6,6018,22,16,7017,9523,Benign
6,71339,24,7,832,8678,Attack
6,44533,17,49,290,1546,Attack
6,31528,47,34,3448,7523,Attack
6,28179,42,41,2616,262,Attack
6,79605,12,39,7753,9597,Benign
6,8020,49,22,6199,3241,Benign
6,76796,14,47,3247,2941,Benign
6,89069,4,10,1241,2662,Attack
6,11682,12,34,2674,5392,Benign
6,86568,18,13,5435,7462,Benign
6,26277,7,38,6225,7551,Attack
